Date,Day of Week,Time,Item,Price,Tip
2024-01-04,Thursday,21:29,Filet Mignon,45,10.4
2024-10-10,Thursday,21:10,Truffle Risotto,35,7.38
2024-05-23,Thursday,19:52,Foie Gras,50,12.29
2024-04-03,Wednesday,18:53,Chocolate Souffle,20,2.99
2024-05-25,Saturday,21:46,Creme Brulee,15,3.79
2024-08-06,Tuesday,21:38,Chocolate Souffle,20,3.98
2024-12-08,Sunday,18:10,Chocolate Souffle,20,5.36
2024-04-03,Wednesday,19:29,Lobster Thermidor,55,7.7
2024-03-11,Monday,21:59,Chocolate Souffle,20,5.61
2024-01-12,Friday,17:05,Chocolate Souffle,20,2.73
2024-11-24,Sunday,21:38,Foie Gras,50,14.58
2024-07-20,Saturday,17:11,Creme Brulee,15,2.51
2024-05-22,Wednesday,19:48,Duck Confit,40,4.43
2024-05-13,Monday,20:51,Chocolate Souffle,20,4.28
2024-05-20,Monday,19:46,Foie Gras,50,8.64
2024-09-12,Thursday,21:40,Creme Brulee,15,2.83
2024-01-16,Tuesday,18:22,Lobster Thermidor,55,13.62
2024-11-02,Saturday,19:04,Duck Confit,40,6.56
2024-01-01,Monday,20:13,Lobster Thermidor,55,11.48
2024-06-03,Monday,17:19,Salmon en Papillote,30,3.98
2024-11-23,Saturday,19:56,Filet Mignon,45,10.16
2024-09-22,Sunday,19:45,Creme Brulee,15,2.09
2024-01-25,Thursday,21:37,Duck Confit,40,10.36
2024-10-21,Monday,19:53,Creme Brulee,15,3.64
2024-01-09,Tuesday,20:39,Chocolate Souffle,20,5.46
2024-10-17,Thursday,21:27,Truffle Risotto,35,8.54
2024-11-10,Sunday,19:25,Salmon en Papillote,30,3.73
2024-03-11,Monday,19:50,Chocolate Souffle,20,5.69
2024-03-11,Monday,18:48,Duck Confit,40,10.03
2024-12-19,Thursday,18:08,Filet Mignon,45,8.95
2024-02-10,Saturday,19:42,Lobster Thermidor,55,11.54
2024-05-21,Tuesday,18:47,Foie Gras,50,5.22
2024-11-18,Monday,17:47,Lobster Thermidor,55,15.87
2024-06-19,Wednesday,19:19,Truffle Risotto,35,6.06
2024-11-09,Saturday,21:57,Chocolate Souffle,20,3.71
2024-06-21,Friday,19:59,Creme Brulee,15,3.38
2024-05-10,Friday,18:48,Lobster Thermidor,55,7.83
2024-06-26,Wednesday,21:16,Salmon en Papillote,30,6.75
2024-07-22,Monday,20:16,Lobster Thermidor,55,13.53
2024-04-28,Sunday,19:21,Foie Gras,50,11.13
2024-04-08,Monday,19:01,Salmon en Papillote,30,4.07
2024-09-20,Friday,17:03,Lobster Thermidor,55,14.47
2024-08-17,Saturday,17:51,Truffle Risotto,35,6.98
2024-04-07,Sunday,19:06,Foie Gras,50,7.58
2024-09-15,Sunday,19:54,Filet Mignon,45,7.95
2024-02-22,Thursday,17:23,Lobster Thermidor,55,8.13
2024-09-22,Sunday,17:21,Duck Confit,40,6.14
2024-10-12,Saturday,18:45,Foie Gras,50,14.46
2024-03-02,Saturday,20:20,Filet Mignon,45,13.03
2024-07-09,Tuesday,21:25,Truffle Risotto,35,8.88
2024-10-21,Monday,18:52,Lobster Thermidor,55,7.99
2024-04-27,Saturday,17:44,Chocolate Souffle,20,5.02
2024-06-25,Tuesday,21:25,Filet Mignon,45,12.46
2024-03-19,Tuesday,21:44,Chocolate Souffle,20,4.3
2024-07-24,Wednesday,21:12,Salmon en Papillote,30,7.75
2024-12-13,Friday,17:56,Chocolate Souffle,20,2.48
2024-02-08,Thursday,21:55,Salmon en Papillote,30,3.78
2024-03-05,Tuesday,21:58,Creme Brulee,15,3.49
2024-10-27,Sunday,17:36,Chocolate Souffle,20,5.35
2024-11-11,Monday,19:17,Salmon en Papillote,30,4.27
2024-12-04,Wednesday,21:51,Truffle Risotto,35,5.92
2024-10-08,Tuesday,20:14,Lobster Thermidor,55,8.65
2024-06-24,Monday,21:59,Creme Brulee,15,1.97
2024-08-07,Wednesday,17:51,Truffle Risotto,35,4.03
2024-09-06,Friday,17:27,Truffle Risotto,35,5.52
2024-12-03,Tuesday,21:12,Filet Mignon,45,13.49
2024-03-01,Friday,20:08,Chocolate Souffle,20,2.18
2024-05-16,Thursday,21:19,Salmon en Papillote,30,3.07
2024-12-02,Monday,18:10,Chocolate Souffle,20,5.69
2024-11-15,Friday,18:04,Duck Confit,40,11.56
2024-04-03,Wednesday,19:08,Foie Gras,50,9.96
2024-07-19,Friday,21:56,Creme Brulee,15,4.19
2024-04-28,Sunday,18:41,Salmon en Papillote,30,6.39
2024-01-14,Sunday,18:09,Filet Mignon,45,5.89
2024-05-03,Friday,20:26,Lobster Thermidor,55,15.12
2024-03-01,Friday,21:36,Filet Mignon,45,6.69
2024-08-18,Sunday,19:57,Duck Confit,40,6.23
2024-03-17,Sunday,21:04,Lobster Thermidor,55,9.86
2024-04-27,Saturday,19:31,Salmon en Papillote,30,4.6
2024-07-28,Sunday,21:02,Filet Mignon,45,8.42
2024-01-23,Tuesday,17:25,Duck Confit,40,8.46
2024-11-25,Monday,20:23,Foie Gras,50,7.31
2024-02-27,Tuesday,17:58,Truffle Risotto,35,8.24
2024-02-20,Tuesday,21:48,Salmon en Papillote,30,7.14
2024-08-01,Thursday,18:31,Salmon en Papillote,30,6.42
2024-09-18,Wednesday,17:02,Creme Brulee,15,2.83
2024-11-24,Sunday,19:21,Chocolate Souffle,20,4.02
2024-08-17,Saturday,21:48,Chocolate Souffle,20,3.73
2024-12-02,Monday,18:24,Filet Mignon,45,9.24
2024-01-14,Sunday,18:14,Foie Gras,50,12.44
2024-05-26,Sunday,19:00,Salmon en Papillote,30,3.08
2024-01-22,Monday,18:38,Salmon en Papillote,30,4.03
2024-11-26,Tuesday,21:09,Creme Brulee,15,1.64
2024-12-06,Friday,20:02,Filet Mignon,45,5.55
2024-12-10,Tuesday,19:11,Filet Mignon,45,8.25
2024-02-28,Wednesday,21:49,Duck Confit,40,5.95
2024-12-11,Wednesday,20:54,Salmon en Papillote,30,4.08
2024-07-20,Saturday,20:25,Salmon en Papillote,30,3.35
2024-05-07,Tuesday,19:43,Lobster Thermidor,55,9.16
2024-06-10,Monday,19:25,Foie Gras,50,13.49
2024-03-03,Sunday,20:44,Lobster Thermidor,55,10.72
2024-07-10,Wednesday,18:49,Foie Gras,50,6.24
2024-09-20,Friday,21:48,Creme Brulee,15,4.25
2024-05-05,Sunday,18:40,Duck Confit,40,10.36
2024-10-02,Wednesday,20:17,Salmon en Papillote,30,4.98
2024-04-11,Thursday,18:33,Chocolate Souffle,20,3.47
2024-04-08,Monday,17:45,Filet Mignon,45,10.72
2024-11-13,Wednesday,20:00,Duck Confit,40,10.42
2024-12-02,Monday,19:07,Chocolate Souffle,20,2.88
2024-08-10,Saturday,20:18,Truffle Risotto,35,10.08
2024-03-08,Friday,17:00,Filet Mignon,45,12.38
2024-01-07,Sunday,21:32,Truffle Risotto,35,3.51
2024-04-14,Sunday,17:07,Creme Brulee,15,3.61
2024-01-08,Monday,21:25,Creme Brulee,15,1.71
2024-11-16,Saturday,19:36,Filet Mignon,45,10.74
2024-05-17,Friday,21:50,Lobster Thermidor,55,9.01
2024-05-03,Friday,17:47,Creme Brulee,15,3.86
2024-04-10,Wednesday,17:11,Salmon en Papillote,30,3.11
2024-02-11,Sunday,17:14,Foie Gras,50,11.87
2024-05-26,Sunday,17:24,Creme Brulee,15,3.9
2024-08-20,Tuesday,21:49,Truffle Risotto,35,4.46
2024-11-07,Thursday,18:03,Creme Brulee,15,4.1
2024-02-09,Friday,17:55,Chocolate Souffle,20,2.19
2024-09-26,Thursday,19:19,Filet Mignon,45,8.28
2024-03-01,Friday,17:33,Foie Gras,50,11.59
2024-12-08,Sunday,21:37,Truffle Risotto,35,4.42
2024-07-04,Thursday,21:26,Duck Confit,40,6.6
2024-01-20,Saturday,21:39,Foie Gras,50,8.44
2024-11-10,Sunday,21:34,Chocolate Souffle,20,2.58
2024-02-21,Wednesday,19:24,Foie Gras,50,8.1
2024-06-23,Sunday,19:08,Salmon en Papillote,30,7.58
2024-12-07,Saturday,17:19,Foie Gras,50,14.35
2024-01-13,Saturday,20:15,Salmon en Papillote,30,3.52
2024-08-27,Tuesday,19:21,Filet Mignon,45,8.85
2024-12-21,Saturday,20:43,Truffle Risotto,35,8.61
2024-11-26,Tuesday,18:11,Foie Gras,50,7.18
2024-11-22,Friday,20:37,Lobster Thermidor,55,10.83
2024-10-27,Sunday,20:49,Truffle Risotto,35,4.33
2024-07-25,Thursday,18:24,Salmon en Papillote,30,4.66
2024-11-19,Tuesday,19:00,Foie Gras,50,13.32
2024-07-22,Monday,21:42,Salmon en Papillote,30,7.79
2024-12-03,Tuesday,17:48,Foie Gras,50,9.25
2024-11-21,Thursday,20:15,Filet Mignon,45,12.33
2024-02-23,Friday,18:43,Salmon en Papillote,30,6.35
2024-03-20,Wednesday,21:48,Creme Brulee,15,4.44
2024-04-28,Sunday,21:59,Salmon en Papillote,30,8.59
2024-09-11,Wednesday,19:08,Filet Mignon,45,11.57
2024-04-20,Saturday,19:30,Salmon en Papillote,30,4.39
2024-09-14,Saturday,19:29,Lobster Thermidor,55,7.15
2024-06-16,Sunday,20:16,Filet Mignon,45,8.95
2024-04-07,Sunday,17:05,Duck Confit,40,7.98
2024-03-27,Wednesday,18:31,Filet Mignon,45,5.36
2024-04-27,Saturday,21:04,Chocolate Souffle,20,2.65
2024-08-16,Friday,18:24,Creme Brulee,15,4.04
2024-03-10,Sunday,21:47,Creme Brulee,15,1.75
2024-08-26,Monday,20:32,Duck Confit,40,9.82
2024-07-20,Saturday,20:39,Foie Gras,50,13.41
2024-10-10,Thursday,19:23,Filet Mignon,45,7.94
2024-12-09,Monday,21:22,Truffle Risotto,35,8.37
2024-02-26,Monday,20:42,Creme Brulee,15,2.57
2024-03-20,Wednesday,21:04,Creme Brulee,15,2.16
2024-04-07,Sunday,20:14,Creme Brulee,15,4.01
2024-06-05,Wednesday,18:06,Salmon en Papillote,30,3.21
2024-04-07,Sunday,17:38,Filet Mignon,45,11.43
2024-03-19,Tuesday,18:47,Truffle Risotto,35,5.07
2024-07-26,Friday,20:00,Lobster Thermidor,55,8.48
2024-02-01,Thursday,18:20,Creme Brulee,15,2.81
2024-03-25,Monday,21:23,Duck Confit,40,6.2
2024-09-16,Monday,18:38,Creme Brulee,15,4.28
2024-06-02,Sunday,20:08,Filet Mignon,45,9.52
2024-05-06,Monday,17:45,Lobster Thermidor,55,9.52
2024-01-06,Saturday,17:44,Duck Confit,40,6.92
2024-04-14,Sunday,19:30,Duck Confit,40,9.04
2024-07-13,Saturday,19:32,Chocolate Souffle,20,2.8
2024-05-26,Sunday,21:59,Creme Brulee,15,1.69
2024-09-15,Sunday,18:05,Creme Brulee,15,3.95
2024-03-09,Saturday,19:23,Creme Brulee,15,3.52
2024-04-22,Monday,19:49,Lobster Thermidor,55,14.87
2024-03-16,Saturday,19:49,Duck Confit,40,5.54
2024-12-02,Monday,18:04,Foie Gras,50,9.58
2024-03-04,Monday,20:20,Chocolate Souffle,20,3.07
2024-12-19,Thursday,17:57,Salmon en Papillote,30,3.87
2024-08-14,Wednesday,18:46,Filet Mignon,45,8.31
2024-03-04,Monday,19:56,Lobster Thermidor,55,6.24
2024-09-11,Wednesday,17:16,Salmon en Papillote,30,8.76
2024-01-07,Sunday,19:42,Duck Confit,40,7.57
2024-05-24,Friday,18:02,Lobster Thermidor,55,8.5
2024-06-24,Monday,20:49,Duck Confit,40,6.4
2024-11-03,Sunday,18:39,Salmon en Papillote,30,5.38
2024-03-22,Friday,17:05,Creme Brulee,15,2.51
2024-04-23,Tuesday,17:06,Salmon en Papillote,30,8.91
2024-10-21,Monday,18:13,Creme Brulee,15,3.96
2024-01-27,Saturday,18:51,Foie Gras,50,7.31
2024-11-01,Friday,21:52,Creme Brulee,15,2.95
2024-12-28,Saturday,20:35,Duck Confit,40,9.61
2024-07-26,Friday,17:12,Foie Gras,50,13.54
2024-01-08,Monday,21:22,Duck Confit,40,8.03
2024-03-03,Sunday,21:02,Creme Brulee,15,3.87
2024-01-13,Saturday,17:22,Salmon en Papillote,30,4.12
2024-01-23,Tuesday,18:07,Duck Confit,40,10.48
2024-11-13,Wednesday,17:43,Duck Confit,40,11.19
2024-05-06,Monday,21:41,Truffle Risotto,35,6.18
2024-01-21,Sunday,21:07,Creme Brulee,15,3.74
2024-03-07,Thursday,19:02,Duck Confit,40,8.04
2024-08-27,Tuesday,20:20,Chocolate Souffle,20,4.72
2024-05-15,Wednesday,21:47,Foie Gras,50,6.43
2024-12-25,Wednesday,21:37,Foie Gras,50,9.39
2024-04-10,Wednesday,18:54,Lobster Thermidor,55,12.69
2024-10-28,Monday,20:43,Truffle Risotto,35,6.99
2024-09-27,Friday,18:15,Chocolate Souffle,20,3.78
2024-05-19,Sunday,17:39,Chocolate Souffle,20,4.76
2024-07-08,Monday,21:09,Chocolate Souffle,20,4.15
2024-01-03,Wednesday,18:38,Lobster Thermidor,55,7.91
2024-04-16,Tuesday,18:11,Duck Confit,40,6.07
2024-01-12,Friday,19:28,Truffle Risotto,35,9.81
2024-01-08,Monday,17:01,Creme Brulee,15,1.53
2024-12-14,Saturday,17:03,Truffle Risotto,35,3.84
2024-03-08,Friday,17:16,Filet Mignon,45,10.71
2024-11-09,Saturday,20:48,Foie Gras,50,9.95
2024-04-08,Monday,20:22,Truffle Risotto,35,8.9
2024-04-08,Monday,18:44,Duck Confit,40,9.8
2024-02-03,Saturday,18:52,Creme Brulee,15,4.28
2024-11-22,Friday,18:28,Foie Gras,50,14.48
2024-02-18,Sunday,19:15,Creme Brulee,15,3.56
2024-07-04,Thursday,19:02,Truffle Risotto,35,6.44
2024-12-20,Friday,19:51,Foie Gras,50,10.5
2024-08-20,Tuesday,17:49,Foie Gras,50,9.03
2024-04-24,Wednesday,17:33,Chocolate Souffle,20,3.58
2024-03-24,Sunday,18:18,Lobster Thermidor,55,9.16
2024-07-17,Wednesday,19:46,Foie Gras,50,6.37
2024-09-24,Tuesday,17:00,Chocolate Souffle,20,3.38
2024-05-13,Monday,19:21,Chocolate Souffle,20,4.24
2024-01-20,Saturday,18:54,Salmon en Papillote,30,7.88
2024-01-10,Wednesday,20:03,Duck Confit,40,10.85
2024-05-01,Wednesday,19:03,Foie Gras,50,14.17
2024-10-04,Friday,20:42,Creme Brulee,15,2.75
2024-04-13,Saturday,20:21,Duck Confit,40,10.52
2024-05-19,Sunday,19:39,Truffle Risotto,35,9.67
2024-09-17,Tuesday,19:46,Creme Brulee,15,2.49
2024-05-02,Thursday,19:00,Filet Mignon,45,13.06
2024-11-01,Friday,21:25,Duck Confit,40,6.12
2024-08-09,Friday,21:37,Lobster Thermidor,55,15.2
2024-04-01,Monday,18:38,Chocolate Souffle,20,5.43
2024-07-23,Tuesday,19:47,Filet Mignon,45,6.72
2024-08-07,Wednesday,18:30,Foie Gras,50,5.51
2024-01-27,Saturday,19:14,Salmon en Papillote,30,4.26
2024-06-12,Wednesday,18:51,Filet Mignon,45,7.82
2024-02-24,Saturday,18:10,Chocolate Souffle,20,2.64
2024-07-11,Thursday,17:06,Duck Confit,40,6.14
2024-02-26,Monday,21:30,Salmon en Papillote,30,5.56
2024-04-27,Saturday,19:23,Lobster Thermidor,55,7.32
2024-01-18,Thursday,19:01,Creme Brulee,15,3.34
2024-02-26,Monday,17:40,Truffle Risotto,35,3.8
2024-02-23,Friday,18:29,Filet Mignon,45,13.39
2024-12-07,Saturday,19:05,Truffle Risotto,35,10.34
2024-03-22,Friday,17:41,Filet Mignon,45,7.82
2024-07-10,Wednesday,21:53,Creme Brulee,15,1.85
2024-08-02,Friday,19:23,Foie Gras,50,14.72
2024-10-04,Friday,17:21,Creme Brulee,15,2.86
2024-02-17,Saturday,20:40,Duck Confit,40,10.31
2024-03-25,Monday,20:32,Foie Gras,50,13.72
2024-08-23,Friday,20:25,Creme Brulee,15,3.53
2024-01-27,Saturday,21:28,Creme Brulee,15,2.16
2024-04-24,Wednesday,20:01,Truffle Risotto,35,6.9
2024-09-02,Monday,20:01,Filet Mignon,45,13.38
2024-05-13,Monday,20:17,Filet Mignon,45,12.78
2024-03-18,Monday,18:40,Filet Mignon,45,5.31
2024-01-16,Tuesday,21:25,Salmon en Papillote,30,5.36
2024-08-03,Saturday,19:18,Chocolate Souffle,20,2.64
2024-03-27,Wednesday,19:21,Duck Confit,40,4.42
2024-03-14,Thursday,21:15,Duck Confit,40,5.89
2024-06-07,Friday,17:19,Chocolate Souffle,20,5.23
2024-01-06,Saturday,18:27,Salmon en Papillote,30,5.33
2024-07-23,Tuesday,20:29,Lobster Thermidor,55,15.76
2024-03-23,Saturday,21:46,Creme Brulee,15,1.99
2024-07-25,Thursday,21:05,Duck Confit,40,4.16
2024-03-23,Saturday,17:33,Duck Confit,40,7.09
2024-02-28,Wednesday,21:17,Filet Mignon,45,12.07
2024-06-13,Thursday,17:08,Lobster Thermidor,55,15.62
2024-11-03,Sunday,20:44,Truffle Risotto,35,5.38
2024-01-06,Saturday,17:25,Chocolate Souffle,20,4.04
2024-08-28,Wednesday,21:35,Chocolate Souffle,20,3.39
2024-11-07,Thursday,21:33,Creme Brulee,15,2.94
2024-03-18,Monday,19:26,Filet Mignon,45,8.08
2024-09-12,Thursday,21:39,Salmon en Papillote,30,5.13
2024-09-22,Sunday,21:04,Salmon en Papillote,30,8.9
2024-11-17,Sunday,21:06,Lobster Thermidor,55,5.83
2024-04-24,Wednesday,17:42,Truffle Risotto,35,3.59
2024-09-18,Wednesday,17:17,Lobster Thermidor,55,12.57
2024-07-07,Sunday,19:14,Filet Mignon,45,4.79
2024-11-06,Wednesday,20:15,Lobster Thermidor,55,6.29
2024-08-11,Sunday,21:26,Salmon en Papillote,30,5.32
2024-08-04,Sunday,17:25,Salmon en Papillote,30,7.85
2024-11-17,Sunday,21:31,Lobster Thermidor,55,6.0
2024-01-17,Wednesday,17:51,Chocolate Souffle,20,3.33
2024-10-04,Friday,21:13,Creme Brulee,15,4.22
2024-03-22,Friday,21:47,Filet Mignon,45,7.03
2024-03-28,Thursday,21:04,Creme Brulee,15,2.83
2024-02-18,Sunday,21:03,Creme Brulee,15,1.75
2024-01-16,Tuesday,20:34,Salmon en Papillote,30,8.62
2024-02-17,Saturday,20:24,Truffle Risotto,35,5.27
2024-07-28,Sunday,21:25,Creme Brulee,15,2.14
2024-02-02,Friday,21:51,Creme Brulee,15,4.02
2024-06-15,Saturday,19:08,Duck Confit,40,9.37
2024-04-04,Thursday,19:36,Duck Confit,40,7.78
2024-03-06,Wednesday,18:33,Creme Brulee,15,4.05
2024-10-05,Saturday,21:55,Foie Gras,50,9.75
2024-04-11,Thursday,18:25,Salmon en Papillote,30,6.22
2024-02-20,Tuesday,18:40,Lobster Thermidor,55,14.54
2024-02-03,Saturday,19:04,Truffle Risotto,35,9.49
2024-02-25,Sunday,17:05,Creme Brulee,15,3.86
2024-09-04,Wednesday,21:06,Lobster Thermidor,55,15.46
2024-10-19,Saturday,19:17,Creme Brulee,15,1.67
2024-11-14,Thursday,20:50,Lobster Thermidor,55,11.02
2024-11-28,Thursday,20:39,Salmon en Papillote,30,8.69
2024-10-24,Thursday,21:41,Salmon en Papillote,30,8.4
2024-10-15,Tuesday,20:25,Salmon en Papillote,30,5.48
2024-04-12,Friday,17:49,Filet Mignon,45,12.99
2024-05-07,Tuesday,19:01,Duck Confit,40,8.96
2024-02-22,Thursday,18:36,Chocolate Souffle,20,4.24
2024-03-03,Sunday,18:25,Duck Confit,40,8.44
2024-08-27,Tuesday,18:09,Duck Confit,40,10.86
2024-12-19,Thursday,21:48,Filet Mignon,45,11.26
2024-06-26,Wednesday,18:50,Creme Brulee,15,3.51
2024-02-20,Tuesday,19:16,Lobster Thermidor,55,14.91
2024-09-11,Wednesday,20:18,Chocolate Souffle,20,3.44
2024-10-18,Friday,18:02,Creme Brulee,15,3.32
2024-08-16,Friday,17:48,Truffle Risotto,35,3.9
2024-06-02,Sunday,19:05,Creme Brulee,15,3.03
2024-08-27,Tuesday,20:26,Truffle Risotto,35,8.15
2024-09-20,Friday,21:57,Creme Brulee,15,2.44
2024-12-18,Wednesday,19:08,Duck Confit,40,7.63
2024-03-28,Thursday,20:47,Foie Gras,50,9.65
2024-04-11,Thursday,17:42,Duck Confit,40,4.89
2024-02-10,Saturday,19:37,Truffle Risotto,35,7.06
2024-02-11,Sunday,19:20,Chocolate Souffle,20,4.21
2024-08-03,Saturday,17:56,Duck Confit,40,7.31
2024-01-20,Saturday,17:57,Filet Mignon,45,6.94
2024-06-25,Tuesday,21:08,Lobster Thermidor,55,6.39
2024-05-08,Wednesday,18:22,Truffle Risotto,35,5.67
2024-08-13,Tuesday,18:33,Chocolate Souffle,20,5.76
2024-12-04,Wednesday,18:36,Truffle Risotto,35,3.75
2024-03-04,Monday,20:04,Salmon en Papillote,30,8.76
2024-01-23,Tuesday,20:57,Foie Gras,50,12.76
2024-09-08,Sunday,17:01,Lobster Thermidor,55,8.43
2024-08-13,Tuesday,18:09,Filet Mignon,45,11.81
2024-05-06,Monday,17:18,Lobster Thermidor,55,10.93
2024-04-06,Saturday,17:10,Filet Mignon,45,12.1
2024-04-24,Wednesday,21:57,Foie Gras,50,10.85
2024-07-07,Sunday,20:33,Foie Gras,50,5.68
2024-05-22,Wednesday,21:51,Creme Brulee,15,4.38
2024-08-17,Saturday,18:39,Salmon en Papillote,30,5.62
2024-01-17,Wednesday,17:10,Duck Confit,40,7.61
2024-01-08,Monday,21:25,Salmon en Papillote,30,5.62
2024-07-04,Thursday,21:32,Salmon en Papillote,30,3.06
2024-04-28,Sunday,20:43,Creme Brulee,15,4.27
2024-04-21,Sunday,17:37,Salmon en Papillote,30,6.92
2024-08-22,Thursday,19:41,Chocolate Souffle,20,2.18
2024-07-09,Tuesday,17:26,Duck Confit,40,10.31
2024-12-11,Wednesday,19:44,Duck Confit,40,7.0
2024-12-16,Monday,18:05,Lobster Thermidor,55,14.8
2024-01-27,Saturday,18:43,Chocolate Souffle,20,5.56
2024-08-15,Thursday,18:26,Salmon en Papillote,30,8.91
2024-01-26,Friday,17:41,Lobster Thermidor,55,10.07
2024-08-27,Tuesday,19:16,Foie Gras,50,5.94
2024-03-23,Saturday,19:10,Chocolate Souffle,20,2.28
2024-11-26,Tuesday,21:41,Lobster Thermidor,55,10.92
2024-03-24,Sunday,20:14,Truffle Risotto,35,9.85
2024-10-27,Sunday,18:25,Duck Confit,40,5.27
2024-10-11,Friday,21:13,Foie Gras,50,14.31
2024-04-17,Wednesday,21:42,Duck Confit,40,6.4
2024-05-07,Tuesday,18:00,Chocolate Souffle,20,4.89
2024-07-20,Saturday,17:35,Creme Brulee,15,3.33
2024-01-06,Saturday,19:23,Lobster Thermidor,55,11.62
2024-12-03,Tuesday,21:20,Lobster Thermidor,55,6.47
2024-08-20,Tuesday,18:20,Truffle Risotto,35,7.0
2024-11-23,Saturday,19:07,Salmon en Papillote,30,7.06
2024-08-27,Tuesday,21:35,Foie Gras,50,9.4
2024-09-02,Monday,21:54,Salmon en Papillote,30,3.58
2024-09-06,Friday,17:15,Chocolate Souffle,20,2.58
2024-01-07,Sunday,21:02,Filet Mignon,45,10.93
2024-12-22,Sunday,17:56,Salmon en Papillote,30,3.48
2024-05-13,Monday,20:24,Salmon en Papillote,30,4.93
2024-10-06,Sunday,20:40,Lobster Thermidor,55,9.82
2024-11-10,Sunday,20:00,Chocolate Souffle,20,2.6
2024-01-11,Thursday,19:26,Duck Confit,40,5.1
2024-06-05,Wednesday,18:14,Lobster Thermidor,55,7.22
2024-03-06,Wednesday,20:40,Chocolate Souffle,20,4.7
2024-07-13,Saturday,17:17,Foie Gras,50,5.5
2024-12-21,Saturday,21:11,Foie Gras,50,9.09
2024-08-09,Friday,17:03,Salmon en Papillote,30,6.13
2024-06-04,Tuesday,19:24,Chocolate Souffle,20,5.81
2024-12-10,Tuesday,20:25,Lobster Thermidor,55,7.98
2024-05-08,Wednesday,19:50,Chocolate Souffle,20,2.73
2024-07-01,Monday,17:33,Creme Brulee,15,3.67
2024-08-21,Wednesday,20:12,Creme Brulee,15,4.41
2024-07-19,Friday,21:03,Lobster Thermidor,55,6.65
2024-08-01,Thursday,18:00,Salmon en Papillote,30,8.65
2024-11-17,Sunday,20:16,Creme Brulee,15,3.89
2024-07-14,Sunday,19:17,Salmon en Papillote,30,7.47
2024-10-22,Tuesday,21:46,Filet Mignon,45,8.25
2024-05-12,Sunday,21:50,Duck Confit,40,6.47
2024-01-15,Monday,20:05,Creme Brulee,15,1.96
2024-12-05,Thursday,20:19,Salmon en Papillote,30,3.11
2024-08-07,Wednesday,17:00,Duck Confit,40,10.53
2024-03-13,Wednesday,17:13,Filet Mignon,45,11.48
2024-03-06,Wednesday,19:52,Foie Gras,50,14.51
2024-07-12,Friday,18:44,Truffle Risotto,35,7.84
2024-11-25,Monday,18:12,Foie Gras,50,6.81
2024-02-04,Sunday,17:11,Duck Confit,40,10.98
2024-05-24,Friday,19:35,Chocolate Souffle,20,3.37
2024-12-04,Wednesday,19:49,Filet Mignon,45,4.71
2024-09-23,Monday,20:01,Chocolate Souffle,20,2.95
2024-10-24,Thursday,17:06,Creme Brulee,15,2.22
2024-07-08,Monday,21:00,Creme Brulee,15,4.02
2024-04-04,Thursday,21:33,Lobster Thermidor,55,14.09
2024-03-25,Monday,19:20,Foie Gras,50,6.15
2024-07-12,Friday,19:47,Chocolate Souffle,20,4.25
2024-02-16,Friday,21:59,Foie Gras,50,7.72
2024-10-22,Tuesday,20:02,Lobster Thermidor,55,7.88
2024-04-03,Wednesday,21:29,Chocolate Souffle,20,4.67
2024-08-16,Friday,21:53,Foie Gras,50,5.67
2024-11-08,Friday,21:42,Salmon en Papillote,30,3.95
2024-10-01,Tuesday,20:10,Filet Mignon,45,8.36
2024-10-05,Saturday,19:44,Lobster Thermidor,55,9.56
2024-06-10,Monday,20:04,Lobster Thermidor,55,15.22
2024-10-04,Friday,21:28,Creme Brulee,15,3.37
2024-12-22,Sunday,20:22,Duck Confit,40,10.48
2024-01-06,Saturday,17:07,Duck Confit,40,4.82
2024-11-26,Tuesday,19:36,Lobster Thermidor,55,10.47
2024-02-28,Wednesday,18:58,Lobster Thermidor,55,6.13
2024-07-25,Thursday,18:22,Foie Gras,50,11.02
2024-07-19,Friday,19:02,Chocolate Souffle,20,3.71
2024-02-13,Tuesday,18:50,Truffle Risotto,35,4.0
2024-02-20,Tuesday,20:43,Truffle Risotto,35,6.1
2024-08-28,Wednesday,17:33,Chocolate Souffle,20,3.41
2024-08-11,Sunday,19:32,Truffle Risotto,35,6.47
2024-06-09,Sunday,18:54,Filet Mignon,45,9.42
2024-06-12,Wednesday,20:17,Truffle Risotto,35,6.44
2024-12-15,Sunday,21:10,Filet Mignon,45,5.69
2024-10-02,Wednesday,17:03,Duck Confit,40,8.27
2024-08-02,Friday,21:01,Filet Mignon,45,11.97
2024-10-18,Friday,17:47,Filet Mignon,45,10.5
2024-12-07,Saturday,17:57,Lobster Thermidor,55,14.4
2024-11-13,Wednesday,21:01,Truffle Risotto,35,4.65
2024-03-23,Saturday,18:36,Duck Confit,40,8.06
2024-05-01,Wednesday,17:28,Lobster Thermidor,55,10.45
2024-09-14,Saturday,21:20,Lobster Thermidor,55,11.73
2024-04-13,Saturday,20:10,Foie Gras,50,7.28
2024-11-07,Thursday,20:53,Truffle Risotto,35,4.76
2024-10-28,Monday,18:03,Truffle Risotto,35,7.3
2024-02-07,Wednesday,17:59,Lobster Thermidor,55,7.05
2024-06-21,Friday,17:20,Creme Brulee,15,3.05
2024-09-14,Saturday,20:24,Foie Gras,50,9.64
2024-05-17,Friday,18:13,Truffle Risotto,35,9.87
2024-07-20,Saturday,20:31,Duck Confit,40,5.26
